"Angel","King's Cross St. Pancras"
"Angel","Old Street"
"Archway","Highgate"
"Archway","Tufnell Park"
"Balham","Clapham South"
"Balham","Tooting Bec"
"Bank","London Bridge"
"Bank","Moorgate"
"Belsize Park","Chalk Farm"
"Belsize Park","Hampstead"
"Blackhorse Road","Tottenham Hale"
"Blackhorse Road","Walthamstow Central"
"Borough","Elephant & Castle"
"Borough","London Bridge"
"Brent Cross","Golders Green"
"Brent Cross","Hendon Central"
"Brixton","Stockwell"
"Burnt Oak","Colindale"
"Burnt Oak","Edgware"
"Camden Town","Chalk Farm"
"Camden Town","Euston"
"Camden Town","Kentish Town"
"Camden Town","Mornington Crescent"
"Charing Cross","Embankment"
"Charing Cross","Leicester Square"
"Clapham Common","Clapham North"
"Clapham Common","Clapham South"
"Clapham North","Stockwell"
"Colindale","Hendon Central"
"Colliers Wood","South Wimbledon"
"Colliers Wood","Tooting Broadway"
"East Finchley","Finchley Central"
"East Finchley","Highgate"
"Elephant & Castle","Kennington"
"Embankment","Waterloo"
"Euston","King's Cross St. Pancras"
"Euston","Mornington Crescent"
"Euston","Warren Street"
"Finchley Central","Mill Hill East"
"Finchley Central","West Finchley"
"Finsbury Park","Highbury & Islington"
"Finsbury Park","Seven Sisters"
"Golders Green","Hampstead"
"Goodge Street","Tottenham Court Road"
"Goodge Street","Warren Street"
"Green Park","Oxford Circus"
"Green Park","Victoria"
"High Barnet","Totteridge & Whetstone"
"Highbury & Islington","King's Cross St. Pancras"
"Kennington","Oval"
"Kennington","Waterloo"
"Kentish Town","Tufnell Park"
"Leicester Square","Tottenham Court Road"
"Moorgate","Old Street"
"Morden","South Wimbledon"
"Oval","Stockwell"
"Oxford Circus","Warren Street"
"Pimlico","Vauxhall"
"Pimlico","Victoria"
"Seven Sisters","Tottenham Hale"
"Stockwell","Vauxhall"
"Tooting Bec","Tooting Broadway"
"Totteridge & Whetstone","Woodside Park"
"West Finchley","Woodside Park"